,Analog1[V],Analog2[V],Analog9[V]
"13:22:05.800000",0.000,5.250,0.000
"13:22:06.000000",0.000,5.250,0.001
"13:22:06.200000",0.000,5.250,0.001
"13:22:06.400000",0.000,5.250,0.000
"13:22:06.600000",-0.004,5.250,0.000
"13:22:06.800000",0.000,5.250,0.000
"13:22:07.000000",0.000,5.250,0.000
"13:22:07.200000",0.000,5.250,0.001
"13:22:07.400000",-0.001,5.250,0.001
"13:22:07.600000",0.000,5.250,0.000
"13:22:07.800000",0.000,5.250,0.000
"13:22:08.000000",0.000,5.250,0.001
"13:22:08.200000",0.000,5.250,0.001
"13:22:08.400000",-0.001,5.250,0.000
"13:22:08.600000",0.000,5.250,0.001
"13:22:08.800000",0.000,5.250,0.000
"13:22:09.000000",-0.001,5.250,0.000
"13:22:09.200000",0.000,5.250,0.000
"13:22:09.400000",0.000,5.250,0.000
"13:22:09.600000",0.000,5.250,0.000
"13:22:09.800000",0.000,5.250,0.003
"13:22:10.000000",0.000,5.250,0.000
"13:22:10.200000",-0.001,5.250,0.000
"13:22:10.400000",0.000,5.250,0.000
"13:22:10.600000",-0.001,5.250,0.000
"13:22:10.800000",0.002,5.250,0.002
"13:22:11.000000",0.000,5.250,0.000
"13:22:11.200000",0.000,5.250,0.000
"13:22:11.400000",0.000,5.250,0.001
"13:22:11.600000",0.000,5.250,0.000
"13:22:11.800000",0.000,5.250,0.000
"13:22:12.000000",-0.002,5.250,0.000
"13:22:12.200000",0.000,5.250,0.000
"13:22:12.400000",-0.002,5.250,0.001
"13:22:12.600000",0.000,5.250,0.002
"13:22:12.800000",0.000,5.250,0.001
"13:22:13.000000",-0.001,5.250,0.001
"13:22:13.200000",-0.001,5.250,0.000
"13:22:13.400000",0.000,5.250,0.002
"13:22:13.600000",-0.001,5.250,0.001
"13:22:13.800000",0.000,5.250,0.000
"13:22:14.000000",0.000,5.250,0.001
"13:22:14.200000",0.000,5.250,0.000
"13:22:14.400000",-0.001,5.250,0.001
"13:22:14.600000",-0.001,5.250,0.000
"13:22:14.800000",0.000,5.250,0.000
"13:22:15.000000",-0.001,5.250,0.001
"13:22:15.200000",0.000,5.250,0.000
"13:22:15.400000",0.000,5.250,0.000
"13:22:15.600000",0.000,5.250,0.000
"13:22:15.800000",0.000,5.250,0.002
"13:22:16.000000",0.000,5.250,0.000
"13:22:16.200000",-0.001,5.250,0.000
"13:22:16.400000",0.000,5.250,0.000
"13:22:16.600000",-0.001,5.250,0.001
"13:22:16.800000",-0.001,5.250,0.002
"13:22:17.000000",0.000,5.250,0.000
"13:22:17.200000",0.000,5.250,0.000
"13:22:17.400000",0.000,5.250,0.000
"13:22:17.600000",0.000,5.250,0.001
"13:22:17.800000",0.000,5.250,0.001
"13:22:18.000000",0.000,5.250,0.000
"13:22:18.200000",-0.002,5.250,0.000
"13:22:18.400000",-0.001,5.250,0.001
"13:22:18.600000",0.000,5.250,0.000
"13:22:18.800000",0.000,5.250,0.002
"13:22:19.000000",0.000,5.250,0.003
"13:22:19.200000",0.000,5.250,0.002
"13:22:19.400000",-0.001,5.250,0.000
"13:22:19.600000",0.000,5.250,0.000
"13:22:19.800000",0.000,5.250,0.000
"13:22:20.000000",0.000,5.250,0.000
"13:22:20.200000",-0.001,5.250,0.001
"13:22:20.400000",0.000,5.250,0.000
"13:22:20.600000",0.000,5.250,0.002
"13:22:20.800000",0.000,5.250,0.000
"13:22:21.000000",0.000,5.250,0.000
"13:22:21.200000",0.000,5.250,0.001
"13:22:21.400000",0.000,5.250,0.000
