タイトル：,
メモ：,
機種名：,NR-2000,,サンプリング周期：,200.00,[ms],,データ数：,2745,,ｱﾅﾛｸﾞCH数：,3
トリガ条件： トリガ無し,トリガ日付時刻：,2019/10/10 13:11:36 000ms 000us
垂直カーソル情報：なし
演算波形Ch01：使用しない
演算波形Ch02：使用しない
演算波形Ch03：使用しない
演算波形Ch04：使用しない
,Analog1[V],Analog2[V],Analog9[V]
,±5.0V,±5.0V,±5.0V
ｽｹｰﾘﾝｸﾞ設定：,,,
ｽﾑｰｼﾞﾝｸﾞ設定：,,,
"13:11:36.000000",0.000,0.048,-0.002
"13:11:36.200000",0.001,0.047,-0.002
"13:11:36.400000",-0.001,0.047,0.000
"13:11:36.600000",0.000,0.048,-0.001
"13:11:36.800000",0.000,0.047,-0.002
"13:11:37.000000",0.000,0.048,-0.002
"13:11:37.200000",0.000,0.047,0.000
"13:11:37.400000",0.000,0.048,-0.002
"13:11:37.600000",0.000,0.047,-0.002
"13:11:37.800000",0.000,0.047,-0.002
"13:11:38.000000",0.000,0.048,-0.001
"13:11:38.200000",0.000,0.048,-0.003
"13:11:38.400000",0.000,0.047,-0.002
"13:11:38.600000",0.000,0.048,0.000
"13:11:38.800000",0.000,0.051,-0.002
"13:11:39.000000",0.000,0.049,-0.002
"13:11:39.200000",0.000,0.047,-0.002
"13:11:39.400000",-0.001,0.049,-0.002
"13:11:39.600000",0.000,0.047,-0.001
"13:11:39.800000",0.000,0.048,-0.002
"13:11:40.000000",0.000,0.048,-0.001
"13:11:40.200000",0.000,0.049,0.000
"13:11:40.400000",0.000,0.048,-0.001
"13:11:40.600000",0.000,0.048,-0.001
"13:11:40.800000",0.000,0.048,0.000
"13:11:41.000000",0.000,0.049,-0.001
"13:11:41.200000",0.000,0.048,-0.002
"13:11:41.400000",0.001,0.047,0.000
"13:11:41.600000",0.000,0.047,-0.001
"13:11:41.800000",0.000,0.048,-0.002
"13:11:42.000000",0.000,0.048,-0.002
"13:11:42.200000",0.000,0.047,0.000
"13:11:42.400000",0.000,0.048,0.000
"13:11:42.600000",0.000,0.047,-0.002
"13:11:42.800000",0.000,0.046,-0.002
"13:11:43.000000",0.000,0.047,0.000
"13:11:43.200000",0.000,0.047,-0.001
"13:11:43.400000",0.000,0.047,-0.003
"13:11:43.600000",0.000,0.047,-0.001
"13:11:43.800000",0.000,0.047,-0.001
"13:11:44.000000",0.000,0.047,-0.002
"13:11:44.200000",0.000,0.048,-0.002
"13:11:44.400000",0.000,0.047,-0.001
"13:11:44.600000",0.000,0.047,-0.001
"13:11:44.800000",0.000,0.047,-0.001
"13:11:45.000000",0.001,0.047,-0.001
"13:11:45.200000",0.000,0.047,-0.002
"13:11:45.400000",0.000,0.047,-0.002
"13:11:45.600000",0.000,0.047,-0.002
"13:11:45.800000",0.001,0.047,-0.001
"13:11:46.000000",0.000,0.047,-0.001
"13:11:46.200000",0.000,0.047,0.000
"13:11:46.400000",0.001,0.047,0.000
"13:11:46.600000",0.000,0.047,-0.001
"13:11:46.800000",0.000,0.047,-0.001
"13:11:47.000000",0.000,0.046,-0.001
"13:11:47.200000",0.000,0.047,-0.002
"13:11:47.400000",0.000,0.048,0.000
"13:11:47.600000",0.000,0.047,0.000
"13:11:47.800000",-0.001,0.049,-0.002
"13:11:48.000000",0.000,0.047,-0.002
"13:11:48.200000",0.000,0.047,0.000
"13:11:48.400000",0.000,0.047,-0.002
"13:11:48.600000",0.000,0.048,-0.002
"13:11:48.800000",0.000,0.048,0.000
"13:11:49.000000",0.000,0.049,-0.002
"13:11:49.200000",0.001,0.048,0.000
"13:11:49.400000",-0.001,0.047,-0.001
"13:11:49.600000",0.000,0.049,-0.001
"13:11:49.800000",0.000,0.048,0.000
"13:11:50.000000",0.000,0.049,-0.001
"13:11:50.200000",0.000,0.048,0.000
"13:11:50.400000",0.001,0.048,-0.002
"13:11:50.600000",-0.001,0.048,0.000
"13:11:50.800000",0.000,0.048,0.000
"13:11:51.000000",0.000,0.048,-0.002
"13:11:51.200000",0.000,0.048,-0.002
"13:11:51.400000",0.000,0.048,-0.001
"13:11:51.600000",0.000,0.048,-0.001
"13:11:51.800000",0.000,0.049,-0.001
"13:11:52.000000",0.000,0.048,-0.001
"13:11:52.200000",0.000,0.047,-0.002
"13:11:52.400000",0.000,0.048,-0.002
"13:11:52.600000",0.000,0.049,-0.001
"13:11:52.800000",0.001,0.048,-0.002
"13:11:53.000000",0.000,0.047,0.000
"13:11:53.200000",0.000,0.049,-0.001
"13:11:53.400000",0.000,0.048,-0.001
"13:11:53.600000",0.000,0.048,-0.001
"13:11:53.800000",0.000,0.047,-0.001
"13:11:54.000000",0.000,0.048,0.000
"13:11:54.200000",0.000,0.047,0.000
"13:11:54.400000",0.000,0.047,-0.002
"13:11:54.600000",0.000,0.047,-0.002
"13:11:54.800000",0.000,0.256,0.000
