,Analog1[V],Analog2[V],Analog9[V]
"12:45:30.000000",0.056,0.012,-0.053
"12:45:30.200000",0.056,0.012,-0.053
"12:45:30.400000",0.056,0.013,-0.052
"12:45:30.600000",0.056,0.013,-0.053
"12:45:30.800000",0.057,0.013,-0.053
"12:45:31.000000",0.055,0.013,-0.054
"12:45:31.200000",0.056,0.013,-0.053
"12:45:31.400000",0.057,0.012,-0.053
"12:45:31.600000",0.055,0.013,-0.053
"12:45:31.800000",0.056,0.012,-0.051
"12:45:32.000000",0.055,0.012,-0.052
"12:45:32.200000",0.055,0.012,-0.051
"12:45:32.400000",0.056,0.011,-0.053
"12:45:32.600000",0.057,0.013,-0.053
"12:45:32.800000",0.057,0.012,-0.052
"12:45:33.000000",0.056,0.013,-0.051
"12:45:33.200000",0.057,0.013,-0.053
"12:45:33.400000",0.057,0.013,-0.051
"12:45:33.600000",0.056,0.013,-0.053
"12:45:33.800000",0.057,0.010,-0.053
"12:45:34.000000",0.055,0.012,-0.051
"12:45:34.200000",0.057,0.012,-0.053
"12:45:34.400000",0.056,0.222,-0.053
"12:45:34.600000",0.056,0.221,-0.051
"12:45:34.800000",0.057,0.222,-0.051
"12:45:35.000000",0.056,0.222,-0.051
"12:45:35.200000",0.056,0.222,-0.053
"12:45:35.400000",0.057,0.223,-0.053
"12:45:35.600000",0.057,0.222,-0.053
"12:45:35.800000",0.056,0.221,-0.051
"12:45:36.000000",0.057,0.002,-0.053
"12:45:36.200000",0.056,0.012,-0.051
"12:45:36.400000",0.057,0.012,-0.053
"12:45:36.600000",0.055,0.012,-0.051
"12:45:36.800000",0.057,0.012,-0.052
"12:45:37.000000",0.057,0.012,-0.050
"12:45:37.200000",0.057,0.013,-0.053
"12:45:37.400000",0.057,-0.196,-0.051
"12:45:37.600000",0.055,-0.196,-0.053
"12:45:37.800000",0.057,-0.197,-0.051
"12:45:38.000000",0.056,-0.197,-0.051
"12:45:38.200000",0.057,-0.197,-0.053
"12:45:38.400000",0.057,-0.198,-0.052
"12:45:38.600000",0.056,-0.198,-0.053
"12:45:38.800000",0.057,-0.197,-0.051
"12:45:39.000000",0.055,-0.196,-0.053
"12:45:39.200000",0.055,0.012,-0.053
"12:45:39.400000",0.057,0.012,-0.053
"12:45:39.600000",0.057,0.012,-0.051
"12:45:39.800000",0.057,0.013,-0.052
"12:45:40.000000",0.057,0.012,-0.051
"12:45:40.200000",0.057,0.012,-0.054
"12:45:40.400000",0.057,0.011,-0.052
"12:45:40.600000",0.057,0.012,-0.053
"12:45:40.800000",0.058,0.012,-0.053
"12:45:41.000000",0.057,0.013,-0.052
"12:45:41.200000",0.057,0.012,-0.051
"12:45:41.400000",0.057,0.012,-0.052
"12:45:41.600000",0.057,0.014,-0.052
"12:45:41.800000",0.056,0.012,-0.053
"12:45:42.000000",0.058,0.012,-0.051
"12:45:42.200000",0.056,0.012,-0.052
"12:45:42.400000",0.057,0.012,-0.052
"12:45:42.600000",0.057,0.012,-0.053
"12:45:42.800000",0.057,0.011,-0.052
"12:45:43.000000",0.057,0.012,-0.053
"12:45:43.200000",0.057,0.013,-0.053
"12:45:43.400000",0.057,0.013,-0.053
"12:45:43.600000",0.057,0.013,-0.052
"12:45:43.800000",0.056,0.012,-0.053
"12:45:44.000000",0.056,0.012,-0.052
"12:45:44.200000",0.058,0.012,-0.053
"12:45:44.400000",0.057,0.012,-0.051
"12:45:44.600000",0.002,0.012,-0.051
"12:45:44.800000",0.000,0.012,-0.053
"12:45:45.000000",0.000,0.012,-0.052
"12:45:45.200000",0.000,0.012,-0.053
"12:45:45.400000",-0.001,0.013,-0.051
"12:45:45.600000",0.000,0.013,-0.051
"12:45:45.800000",0.000,0.014,-0.053
"12:45:46.000000",-0.001,0.013,-0.051
"12:45:46.200000",0.000,0.012,-0.051
"12:45:46.400000",0.000,0.012,-0.051
"12:45:46.600000",0.000,0.012,-0.001
"12:45:46.800000",0.000,0.012,-0.002
"12:45:47.000000",0.000,0.012,-0.001
"12:45:47.200000",0.000,0.013,0.000
"12:45:47.400000",0.000,0.013,-0.002
"12:45:47.600000",0.000,0.012,0.000
"12:45:47.800000",0.000,0.013,-0.001
"12:45:48.000000",0.000,0.014,0.000
"12:45:48.200000",-0.001,0.013,-0.001
"12:45:48.400000",0.000,0.013,-0.002
"12:45:48.600000",-0.002,0.012,0.000
"12:45:48.800000",0.000,0.012,0.000
"12:45:49.000000",0.000,0.014,-0.001
"12:45:49.200000",0.000,0.013,-0.001
"12:45:49.400000",-0.001,0.012,-0.002
"12:45:49.600000",0.000,0.012,-0.002
"12:45:49.800000",0.000,0.014,0.000
"12:45:50.000000",0.001,0.013,-0.001
"12:45:50.200000",0.000,0.013,-0.002
"12:45:50.400000",0.000,0.014,-0.001
"12:45:50.600000",0.000,0.012,-0.002
"12:45:50.800000",-0.001,0.012,-0.001
"12:45:51.000000",0.000,0.012,-0.002
"12:45:51.200000",0.000,0.012,-0.001
"12:45:51.400000",0.000,0.013,-0.001
"12:45:51.600000",0.000,0.012,-0.001
"12:45:51.800000",0.000,0.013,-0.002
"12:45:52.000000",-0.001,0.013,-0.001
"12:45:52.200000",-0.002,0.013,0.000
"12:45:52.400000",-0.002,0.013,0.000
"12:45:52.600000",0.000,0.013,0.000
"12:45:52.800000",0.000,0.012,0.000
"12:45:53.000000",0.000,0.013,0.000
"12:45:53.200000",0.000,0.012,0.000
"12:45:53.400000",0.000,0.012,-0.001
"12:45:53.600000",0.000,0.013,-0.001
"12:45:53.800000",0.000,0.012,-0.003
"12:45:54.000000",0.000,0.013,-0.001
"12:45:54.200000",0.000,0.014,0.000
"12:45:54.400000",0.000,0.014,0.000
"12:45:54.600000",0.000,0.012,0.000
"12:45:54.800000",0.000,0.012,0.000
"12:45:55.000000",0.013,0.013,0.000
"12:45:55.200000",0.026,0.013,0.000
"12:45:55.400000",0.039,0.013,0.004
"12:45:55.600000",0.050,0.014,0.002
"12:45:55.800000",0.062,0.014,0.006
"12:45:56.000000",0.072,0.014,0.006
"12:45:56.200000",0.081,0.015,0.007
"12:45:56.400000",0.087,0.016,0.008
"12:45:56.600000",0.092,0.014,0.008
"12:45:56.800000",0.094,0.016,0.010
"12:45:57.000000",0.096,0.014,0.012
"12:45:57.200000",0.100,0.015,0.012
"12:45:57.400000",0.104,0.014,0.015
"12:45:57.600000",0.105,0.015,0.015
"12:45:57.800000",0.108,0.015,0.017
"12:45:58.000000",0.112,0.015,0.017
"12:45:58.200000",0.114,0.016,0.019
"12:45:58.400000",0.115,0.017,0.019
"12:45:58.600000",0.119,0.017,0.020
"12:45:58.800000",0.121,0.016,0.020
"12:45:59.000000",0.122,0.016,0.023
"12:45:59.200000",0.126,0.016,0.023
"12:45:59.400000",0.127,0.015,0.025
"12:45:59.600000",0.130,0.016,0.026
"12:45:59.800000",0.130,0.016,0.027
"12:46:00.000000",0.132,0.016,0.027
"12:46:00.200000",0.133,0.015,0.027
"12:46:00.400000",0.134,0.017,0.030
"12:46:00.600000",0.136,0.017,0.031
"12:46:00.800000",0.139,0.017,0.033
"12:46:01.000000",0.139,0.017,0.034
"12:46:01.200000",0.143,0.016,0.035
"12:46:01.400000",0.143,0.017,0.035
"12:46:01.600000",0.147,0.015,0.036
"12:46:01.800000",0.153,0.016,0.038
"12:46:02.000000",0.155,0.017,0.038
"12:46:02.200000",0.159,0.017,0.040
"12:46:02.400000",0.163,0.017,0.040
"12:46:02.600000",0.166,0.017,0.042
"12:46:02.800000",0.170,0.018,0.044
"12:46:03.000000",0.174,0.018,0.046
"12:46:03.200000",0.178,0.017,0.047
"12:46:03.400000",0.182,0.017,0.046
"12:46:03.600000",0.185,0.017,0.047
"12:46:03.800000",0.189,0.016,0.050
"12:46:04.000000",0.193,0.017,0.052
"12:46:04.200000",0.197,0.017,0.051
"12:46:04.400000",0.200,0.018,0.053
"12:46:04.600000",0.204,0.018,0.054
"12:46:04.800000",0.208,0.019,0.055
"12:46:05.000000",0.211,0.019,0.057
"12:46:05.200000",0.218,0.018,0.056
"12:46:05.400000",0.223,0.019,0.058
"12:46:05.600000",0.230,0.017,0.058
"12:46:05.800000",0.241,0.018,0.059
"12:46:06.000000",0.253,0.019,0.061
"12:46:06.200000",0.262,0.018,0.064
"12:46:06.400000",0.271,0.019,0.063
"12:46:06.600000",0.282,0.020,0.066
"12:46:06.800000",0.290,0.021,0.065
"12:46:07.000000",0.301,0.021,0.067
"12:46:07.200000",0.306,0.021,0.068
"12:46:07.400000",0.314,0.021,0.070
"12:46:07.600000",0.323,0.021,0.072
"12:46:07.800000",0.330,0.021,0.072
"12:46:08.000000",0.338,0.020,0.072
"12:46:08.200000",0.344,0.021,0.074
"12:46:08.400000",0.351,0.020,0.075
"12:46:08.600000",0.357,0.022,0.076
"12:46:08.800000",0.363,0.022,0.077
"12:46:09.000000",0.370,0.022,0.077
"12:46:09.200000",0.376,0.021,0.079
"12:46:09.400000",0.381,0.023,0.081
"12:46:09.600000",0.386,0.023,0.081
"12:46:09.800000",0.389,0.021,0.083
"12:46:10.000000",0.396,0.022,0.083
"12:46:10.200000",0.402,0.023,0.085
"12:46:10.400000",0.410,0.022,0.084
"12:46:10.600000",0.417,0.022,0.087
"12:46:10.800000",0.422,0.023,0.089
"12:46:11.000000",0.430,0.023,0.088
"12:46:11.200000",0.436,0.024,0.089
"12:46:11.400000",0.443,0.024,0.092
"12:46:11.600000",0.448,0.023,0.092
"12:46:11.800000",0.455,0.023,0.092
"12:46:12.000000",0.462,0.024,0.094
"12:46:12.200000",0.470,0.023,0.094
"12:46:12.400000",0.477,0.023,0.097
"12:46:12.600000",0.485,0.023,0.096
"12:46:12.800000",0.491,0.024,0.098
"12:46:13.000000",0.496,0.024,0.099
"12:46:13.200000",0.503,0.025,0.101
"12:46:13.400000",0.512,0.025,0.102
"12:46:13.600000",0.518,0.025,0.104
"12:46:13.800000",0.524,0.025,0.105
"12:46:14.000000",0.530,0.025,0.107
"12:46:14.200000",0.537,0.025,0.106
"12:46:14.400000",0.545,0.025,0.107
"12:46:14.600000",0.552,0.025,0.109
"12:46:14.800000",0.559,0.025,0.110
"12:46:15.000000",0.565,0.025,0.111
"12:46:15.200000",0.573,0.026,0.111
"12:46:15.400000",0.580,0.027,0.113
"12:46:15.600000",0.588,0.027,0.115
"12:46:15.800000",0.595,0.027,0.116
"12:46:16.000000",0.603,0.026,0.116
"12:46:16.200000",0.610,0.027,0.117
"12:46:16.400000",0.616,0.027,0.119
"12:46:16.600000",0.622,0.026,0.120
"12:46:16.800000",0.628,0.027,0.120
