タイトル：,
メモ：,
機種名：,NR-2000,,サンプリング周期：,200.00,[ms],,データ数：,2204,,ｱﾅﾛｸﾞCH数：,3
トリガ条件： トリガ無し,トリガ日付時刻：,2019/10/07 13:08:36 000ms 000us
垂直カーソル情報：なし
演算波形Ch01：使用しない
演算波形Ch02：使用しない
演算波形Ch03：使用しない
演算波形Ch04：使用しない
,Analog1[V],Analog2[V],Analog9[V]
,±5.0V,±5.0V,±5.0V
ｽｹｰﾘﾝｸﾞ設定：,,,
ｽﾑｰｼﾞﾝｸﾞ設定：,,,
"13:08:36.000000",0.001,0.019,0.129
"13:08:36.200000",0.001,0.017,0.128
"13:08:36.400000",0.001,0.019,0.128
"13:08:36.600000",0.002,0.018,0.128
"13:08:36.800000",0.002,0.019,0.127
"13:08:37.000000",0.000,0.018,0.128
"13:08:37.200000",0.001,0.019,0.128
"13:08:37.400000",0.000,0.019,0.128
"13:08:37.600000",0.000,0.019,0.128
"13:08:37.800000",0.001,0.018,0.128
"13:08:38.000000",0.001,0.019,0.129
"13:08:38.200000",0.002,0.017,0.126
"13:08:38.400000",0.001,0.019,0.129
"13:08:38.600000",0.001,0.019,0.128
"13:08:38.800000",0.000,0.018,0.129
"13:08:39.000000",0.001,0.019,0.128
"13:08:39.200000",0.000,0.019,0.128
"13:08:39.400000",0.001,0.019,0.127
"13:08:39.600000",0.001,0.018,0.128
"13:08:39.800000",-0.002,0.020,0.128
"13:08:40.000000",0.002,0.019,0.128
"13:08:40.200000",0.002,0.019,0.127
"13:08:40.400000",0.000,0.019,0.128
"13:08:40.600000",0.002,0.020,0.127
"13:08:40.800000",0.001,0.020,0.128
"13:08:41.000000",0.002,0.019,0.128
"13:08:41.200000",0.002,0.019,0.127
"13:08:41.400000",0.002,0.019,0.128
"13:08:41.600000",0.001,0.019,0.128
"13:08:41.800000",0.001,0.019,0.127
"13:08:42.000000",0.002,0.019,0.128
"13:08:42.200000",0.000,0.020,0.129
"13:08:42.400000",0.002,0.020,0.127
"13:08:42.600000",0.000,0.020,0.128
"13:08:42.800000",0.002,0.019,0.129
"13:08:43.000000",0.002,0.019,0.127
"13:08:43.200000",0.001,0.020,0.129
"13:08:43.400000",0.002,0.019,0.127
"13:08:43.600000",0.001,0.019,0.128
"13:08:43.800000",0.000,0.019,0.128
"13:08:44.000000",0.001,0.019,0.128
"13:08:44.200000",0.000,0.019,0.128
"13:08:44.400000",0.001,0.019,0.128
"13:08:44.600000",0.000,0.019,0.129
"13:08:44.800000",0.002,0.019,0.127
"13:08:45.000000",0.001,0.019,0.128
"13:08:45.200000",0.001,0.019,0.127
"13:08:45.400000",0.000,0.019,0.128
"13:08:45.600000",0.000,0.019,0.128
"13:08:45.800000",0.001,0.019,0.128
"13:08:46.000000",0.000,0.019,0.127
"13:08:46.200000",0.001,0.019,0.126
"13:08:46.400000",0.000,0.019,0.128
"13:08:46.600000",0.000,0.017,0.128
"13:08:46.800000",0.000,0.019,0.130
"13:08:47.000000",0.002,0.018,0.126
"13:08:47.200000",0.000,0.019,0.127
"13:08:47.400000",0.001,0.018,0.128
"13:08:47.600000",0.001,0.019,0.128
"13:08:47.800000",0.001,0.018,0.128
"13:08:48.000000",0.001,0.018,0.128
"13:08:48.200000",0.002,0.018,0.126
"13:08:48.400000",0.001,0.018,0.128
"13:08:48.600000",0.000,0.019,0.128
"13:08:48.800000",0.001,0.019,0.128
"13:08:49.000000",0.001,0.018,0.127
"13:08:49.200000",0.000,0.019,0.128
"13:08:49.400000",0.002,0.019,0.127
"13:08:49.600000",0.002,0.019,0.127
"13:08:49.800000",0.001,0.018,0.128
"13:08:50.000000",0.001,0.019,0.129
"13:08:50.200000",0.001,0.019,0.129
"13:08:50.400000",0.001,0.019,0.128
"13:08:50.600000",0.000,0.018,0.128
"13:08:50.800000",0.002,0.018,0.130
"13:08:51.000000",0.002,0.019,0.128
"13:08:51.200000",0.002,0.019,0.128
"13:08:51.400000",0.002,0.019,0.128
"13:08:51.600000",0.001,0.019,0.128
"13:08:51.800000",0.001,0.019,0.128
"13:08:52.000000",0.000,0.020,0.128
"13:08:52.200000",0.001,0.019,0.128
"13:08:52.400000",0.002,0.019,0.128
"13:08:52.600000",0.000,0.019,0.128
"13:08:52.800000",0.000,0.020,0.129
"13:08:53.000000",0.002,0.019,0.128
"13:08:53.200000",0.000,0.019,0.128
"13:08:53.400000",0.001,0.019,0.128
"13:08:53.600000",0.001,0.019,0.128
"13:08:53.800000",0.001,0.019,0.128
"13:08:54.000000",0.001,0.019,0.129
"13:08:54.200000",0.003,0.019,0.128
"13:08:54.400000",0.001,0.019,0.128
"13:08:54.600000",0.001,0.019,0.130
"13:08:54.800000",0.002,0.020,0.130
"13:08:55.000000",0.001,0.019,0.128
"13:08:55.200000",0.001,0.019,0.129
"13:08:55.400000",0.001,0.019,0.128
"13:08:55.600000",0.001,0.019,0.128
