タイトル：,
メモ：,
機種名：,NR-2000,,サンプリング周期：,200.00,[ms],,データ数：,2675,,ｱﾅﾛｸﾞCH数：,3
トリガ条件： トリガ無し,トリガ日付時刻：,2019/10/07 13:30:23 000ms 000us
垂直カーソル情報：なし
演算波形Ch01：使用しない
演算波形Ch02：使用しない
演算波形Ch03：使用しない
演算波形Ch04：使用しない
,Analog1[V],Analog2[V],Analog9[V]
,±5.0V,±5.0V,±5.0V
ｽｹｰﾘﾝｸﾞ設定：,,,
ｽﾑｰｼﾞﾝｸﾞ設定：,,,
"13:30:23.000000",-0.017,0.030,1.091
"13:30:23.200000",-0.013,0.031,1.090
"13:30:23.400000",-0.015,0.030,1.091
"13:30:23.600000",-0.014,0.030,1.093
"13:30:23.800000",-0.014,0.031,1.091
"13:30:24.000000",-0.014,0.029,1.093
"13:30:24.200000",-0.014,0.029,1.091
"13:30:24.400000",-0.015,0.029,1.091
"13:30:24.600000",-0.015,0.029,1.091
"13:30:24.800000",-0.017,0.029,1.091
"13:30:25.000000",-0.016,0.029,1.091
"13:30:25.200000",-0.015,0.030,1.092
"13:30:25.400000",-0.016,0.029,1.092
"13:30:25.600000",-0.015,0.031,1.092
"13:30:25.800000",-0.016,0.031,1.091
"13:30:26.000000",-0.016,0.032,1.091
"13:30:26.200000",-0.014,0.031,1.090
"13:30:26.400000",-0.014,0.031,1.092
"13:30:26.600000",-0.013,0.030,1.092
"13:30:26.800000",-0.014,0.031,1.091
"13:30:27.000000",-0.015,0.030,1.092
"13:30:27.200000",-0.014,-0.181,1.091
"13:30:27.400000",-0.015,-0.180,1.093
"13:30:27.600000",-0.015,-0.179,1.092
"13:30:27.800000",-0.014,-0.180,1.091
"13:30:28.000000",-0.016,-0.178,1.092
"13:30:28.200000",-0.015,-0.179,1.091
"13:30:28.400000",-0.014,-0.179,1.092
"13:30:28.600000",-0.016,-0.179,1.091
"13:30:28.800000",-0.014,-0.180,1.091
"13:30:29.000000",-0.014,-0.179,1.091
"13:30:29.200000",-0.012,-0.179,1.091
"13:30:29.400000",-0.015,0.028,1.092
"13:30:29.600000",-0.015,0.029,1.093
"13:30:29.800000",-0.014,0.026,1.091
"13:30:30.000000",-0.015,0.029,1.090
"13:30:30.200000",-0.015,0.030,1.092
"13:30:30.400000",-0.015,0.029,1.093
"13:30:30.600000",-0.014,0.029,1.091
"13:30:30.800000",-0.014,0.029,1.090
"13:30:31.000000",-0.014,0.238,1.091
"13:30:31.200000",-0.016,0.237,1.091
"13:30:31.400000",-0.015,0.237,1.091
"13:30:31.600000",-0.014,0.237,1.090
"13:30:31.800000",-0.015,0.237,1.092
"13:30:32.000000",-0.015,0.236,1.091
"13:30:32.200000",-0.015,0.237,1.091
"13:30:32.400000",-0.016,0.237,1.090
"13:30:32.600000",-0.015,0.238,1.092
"13:30:32.800000",-0.016,0.238,1.093
"13:30:33.000000",-0.015,0.029,1.090
"13:30:33.200000",-0.015,0.028,1.091
"13:30:33.400000",-0.015,0.027,1.091
"13:30:33.600000",-0.016,0.027,1.091
"13:30:33.800000",-0.017,0.027,1.091
"13:30:34.000000",-0.014,0.027,1.091
"13:30:34.200000",-0.015,-0.181,1.092
"13:30:34.400000",-0.015,-0.180,1.091
"13:30:34.600000",-0.014,-0.181,1.091
"13:30:34.800000",-0.013,-0.180,1.092
"13:30:35.000000",-0.006,-0.180,1.091
"13:30:35.200000",-0.005,-0.179,1.093
"13:30:35.400000",-0.002,-0.180,1.091
"13:30:35.600000",0.003,-0.180,1.093
"13:30:35.800000",0.007,-0.179,1.092
"13:30:36.000000",-0.031,-0.183,1.091
"13:30:36.200000",-0.032,-0.181,1.091
"13:30:36.400000",-0.028,0.035,1.091
"13:30:36.600000",-0.018,0.027,1.092
"13:30:36.800000",-0.019,0.029,1.092
"13:30:37.000000",-0.017,0.029,1.091
"13:30:37.200000",-0.022,0.027,1.091
"13:30:37.400000",-0.033,0.028,1.091
"13:30:37.600000",-0.034,0.027,1.093
"13:30:37.800000",-0.032,0.027,1.092
"13:30:38.000000",-0.027,0.237,1.093
"13:30:38.200000",-0.019,0.236,1.092
"13:30:38.400000",-0.019,0.236,1.091
"13:30:38.600000",-0.022,0.236,1.092
"13:30:38.800000",-0.023,0.237,1.092
"13:30:39.000000",-0.027,0.235,1.091
"13:30:39.200000",-0.029,0.027,1.093
"13:30:39.400000",-0.032,0.027,1.091
"13:30:39.600000",-0.023,0.028,1.090
"13:30:39.800000",-0.032,0.027,1.091
"13:30:40.000000",-0.031,-0.181,1.092
"13:30:40.200000",-0.027,-0.182,1.091
"13:30:40.400000",-0.029,-0.182,1.091
"13:30:40.600000",-0.032,-0.182,1.091
"13:30:40.800000",-0.033,-0.182,1.091
"13:30:41.000000",-0.026,-0.182,1.091
"13:30:41.200000",-0.034,0.026,1.093
"13:30:41.400000",-0.033,0.027,1.091
