,Analog1[V],Analog2[V],Analog9[V]
"12:33:26.000000",-0.005,0.025,-0.001
"12:33:26.200000",-0.004,0.025,-0.002
"12:33:26.400000",-0.004,0.026,-0.001
"12:33:26.600000",-0.005,0.027,0.000
"12:33:26.800000",-0.004,0.026,-0.001
"12:33:27.000000",-0.004,0.025,0.000
"12:33:27.200000",-0.005,0.025,-0.001
"12:33:27.400000",-0.004,0.025,-0.001
"12:33:27.600000",-0.004,0.026,0.000
"12:33:27.800000",-0.004,0.025,-0.001
"12:33:28.000000",-0.004,0.025,-0.001
"12:33:28.200000",-0.004,0.025,-0.002
"12:33:28.400000",-0.003,0.025,-0.001
"12:33:28.600000",-0.005,0.025,0.000
"12:33:28.800000",-0.004,0.025,-0.001
"12:33:29.000000",-0.005,0.026,0.000
"12:33:29.200000",-0.003,0.025,-0.001
"12:33:29.400000",-0.004,0.025,-0.002
"12:33:29.600000",-0.004,0.025,-0.002
"12:33:29.800000",-0.003,0.027,0.000
"12:33:30.000000",-0.004,0.025,-0.002
"12:33:30.200000",-0.006,0.235,-0.001
"12:33:30.400000",-0.004,0.234,0.000
"12:33:30.600000",-0.003,0.234,-0.001
"12:33:30.800000",-0.004,0.235,-0.001
"12:33:31.000000",-0.002,0.235,-0.002
"12:33:31.200000",-0.004,0.235,0.000
"12:33:31.400000",-0.006,0.234,0.000
"12:33:31.600000",-0.004,0.234,0.000
"12:33:31.800000",-0.004,0.025,-0.002
"12:33:32.000000",-0.003,0.027,-0.001
"12:33:32.200000",-0.004,0.026,-0.001
"12:33:32.400000",-0.004,0.025,0.000
"12:33:32.600000",-0.003,0.025,-0.001
"12:33:32.800000",-0.004,0.025,0.000
"12:33:33.000000",-0.004,0.025,-0.001
"12:33:33.200000",-0.004,0.025,0.000
"12:33:33.400000",-0.004,0.025,0.000
"12:33:33.600000",-0.004,0.025,-0.001
"12:33:33.800000",-0.004,0.025,-0.001
"12:33:34.000000",-0.004,0.025,0.000
"12:33:34.200000",-0.004,0.025,0.000
"12:33:34.400000",-0.004,0.026,0.000
"12:33:34.600000",-0.003,-0.191,-0.001
"12:33:34.800000",-0.003,-0.184,0.000
"12:33:35.000000",-0.004,-0.184,-0.001
"12:33:35.200000",-0.004,-0.184,0.000
"12:33:35.400000",-0.004,-0.184,-0.001
"12:33:35.600000",-0.003,-0.184,0.000
"12:33:35.800000",-0.004,-0.185,0.000
"12:33:36.000000",-0.004,-0.185,-0.002
"12:33:36.200000",-0.002,-0.185,-0.001
"12:33:36.400000",0.000,0.025,-0.001
"12:33:36.600000",-0.004,0.026,-0.001
"12:33:36.800000",-0.003,0.025,0.000
"12:33:37.000000",-0.005,0.025,-0.001
"12:33:37.200000",-0.003,0.025,-0.001
"12:33:37.400000",-0.004,0.025,-0.001
"12:33:37.600000",-0.005,0.025,-0.001
"12:33:37.800000",-0.004,0.025,-0.001
"12:33:38.000000",-0.004,0.025,-0.002
"12:33:38.200000",-0.004,0.025,-0.002
"12:33:38.400000",-0.004,0.025,0.000
"12:33:38.600000",-0.006,0.025,-0.002
"12:33:38.800000",-0.004,0.025,-0.001
"12:33:39.000000",-0.004,0.025,-0.001
"12:33:39.200000",-0.004,0.025,-0.002
"12:33:39.400000",-0.003,0.024,-0.002
"12:33:39.600000",-0.003,0.024,-0.002
"12:33:39.800000",-0.004,0.025,-0.002
"12:33:40.000000",-0.004,0.025,-0.001
"12:33:40.200000",-0.004,0.025,-0.002
"12:33:40.400000",-0.006,0.024,0.002
"12:33:40.600000",-0.004,0.023,0.000
"12:33:40.800000",-0.003,0.025,0.000
"12:33:41.000000",-0.005,0.025,-0.001
"12:33:41.200000",-0.003,0.025,0.000
"12:33:41.400000",-0.004,0.025,-0.002
"12:33:41.600000",-0.004,0.024,0.000
"12:33:41.800000",-0.004,0.024,-0.002
"12:33:42.000000",-0.004,0.025,0.000
"12:33:42.200000",-0.004,0.025,-0.002
"12:33:42.400000",-0.003,0.025,-0.002
"12:33:42.600000",-0.004,0.025,0.000
"12:33:42.800000",-0.004,0.025,-0.002
"12:33:43.000000",-0.003,0.025,-0.002
"12:33:43.200000",-0.004,0.025,-0.002
"12:33:43.400000",-0.004,0.025,0.000
"12:33:43.600000",-0.004,0.025,-0.002
"12:33:43.800000",-0.002,0.023,-0.002
"12:33:44.000000",-0.004,0.024,-0.002
